../juliet/prep/CWE78,22/12/2020,19:44:29,"GCN(   (conv1): GCNConv(50, 64)   (conv2): GCNConv(64, 64)   (conv3): GCNConv(64, 64)   (lin): Linear(in_features=64, out_features=2, bias=True) )",1279,0.01,CrossEntropyLoss(),0.7,0.88,0.86,1.0,1.0,1.0,0.54,0.21,0.2,0.0,0.0,0.0
../juliet/prep/CWE36,22/12/2020,19:46:38,"GCN(   (conv1): GCNConv(50, 64)   (conv2): GCNConv(64, 64)   (conv3): GCNConv(64, 64)   (lin): Linear(in_features=64, out_features=2, bias=True) )",2798,0.01,CrossEntropyLoss(),0.75,0.87,0.94,0.92,1.0,1.0,0.43,0.38,0.09,0.08,0.0,0.0
../juliet/prep/CWE690,22/12/2020,19:51:43,"GCN(   (conv1): GCNConv(50, 64)   (conv2): GCNConv(64, 64)   (conv3): GCNConv(64, 64)   (lin): Linear(in_features=64, out_features=2, bias=True) )",5095,0.01,CrossEntropyLoss(),0.73,0.86,0.89,0.92,0.9,0.92,0.67,0.23,0.27,0.23,0.15,0.38
../juliet/prep/CWE601,22/12/2020,19:53:07,"GCN(   (conv1): GCNConv(50, 64)   (conv2): GCNConv(64, 64)   (conv3): GCNConv(64, 64)   (lin): Linear(in_features=64, out_features=2, bias=True) )",1177,0.01,CrossEntropyLoss(),0.69,0.88,0.85,0.96,1.0,1.0,0.11,0.32,0.29,2.23,0.0,0.0
../juliet/prep/CWE606,22/12/2020,19:55:02,"GCN(   (conv1): GCNConv(50, 64)   (conv2): GCNConv(64, 64)   (conv3): GCNConv(64, 64)   (lin): Linear(in_features=64, out_features=2, bias=True) )",5974,0.01,CrossEntropyLoss(),0.82,0.89,0.89,0.9,0.99,0.95,0.18,0.04,0.41,0.01,0.0,0.01
../juliet/prep/CWE90,22/12/2020,20:00:15,"GCN(   (conv1): GCNConv(50, 64)   (conv2): GCNConv(64, 64)   (conv3): GCNConv(64, 64)   (lin): Linear(in_features=64, out_features=2, bias=True) )",3291,0.01,CrossEntropyLoss(),0.78,0.9,0.87,0.85,0.97,0.84,0.48,0.14,0.11,0.24,0.04,0.2
../juliet/prep/CWE113,22/12/2020,20:06:34,"GCN(   (conv1): GCNConv(50, 64)   (conv2): GCNConv(64, 64)   (conv3): GCNConv(64, 64)   (lin): Linear(in_features=64, out_features=2, bias=True) )",5361,0.01,CrossEntropyLoss(),0.93,1.0,0.99,1.0,1.0,1.0,0.23,0.01,0.04,0.0,0.0,0.01
../juliet/prep/CWE319,22/12/2020,20:19:08,"GCN(   (conv1): GCNConv(50, 64)   (conv2): GCNConv(64, 64)   (conv3): GCNConv(64, 64)   (lin): Linear(in_features=64, out_features=2, bias=True) )",4557,0.01,CrossEntropyLoss(),0.82,0.91,0.9,0.98,0.99,1.0,0.46,0.34,0.24,0.1,0.51,0.0
../juliet/prep/CWE789,22/12/2020,20:26:36,"GCN(   (conv1): GCNConv(50, 64)   (conv2): GCNConv(64, 64)   (conv3): GCNConv(64, 64)   (lin): Linear(in_features=64, out_features=2, bias=True) )",4494,0.01,CrossEntropyLoss(),0.99,0.94,1.0,1.0,1.0,1.0,0.04,0.0,0.0,0.0,0.0,0.0
../juliet/prep/CWE398,22/12/2020,20:32:12,"GCN(   (conv1): GCNConv(50, 64)   (conv2): GCNConv(64, 64)   (conv3): GCNConv(64, 64)   (lin): Linear(in_features=64, out_features=2, bias=True) )",3036,0.01,CrossEntropyLoss(),0.63,0.47,0.56,0.56,0.75,0.82,0.82,0.59,0.68,0.44,0.29,1.53
